5177711217,1921180019,卡尔西法-哈尔,希望可以有一个爱你的人，护你这一世安乐,0,12月8日 22:35
5163142784,3301418610,帐号已注销,许多葵,0,11月21日 19:45
3606642524,3395053711,乾龙皇,其余的歌手是谁？很高兴听到🌝🌝🙆‍♀️❤,0,11月17日 08:48
3592814645,2054768556,BAI飞飞飞,哈哈哈我早听了谢谢啊,0,10月30日 21:48
3591899732,1669112126,_Furuya,独酌也是如果记忆干涸填词哦🙃，您怎么不去如果记忆干涸底下说他抄袭独酌呢，没文化真可怕,1,10月29日 22:44
3592082052,1669112126,_Furuya,还是那句话，音乐平台很多非本人上传的，您如果能厉害到让网易把这首歌改了当我没说，没那能力您抓紧回去听独酌吧🙃，还有独酌的原曲如果记忆干涸挺好听的记得去听听,0,10月29日 22:41
3592002894,2054768556,BAI飞飞飞,并且《独酌》作曲又不是慕寒，就算是抄的那关慕寒什么事，我话里的关键是在作曲那直接写的蔡翊昇,0,10月29日 22:01
3591959057,2054768556,BAI飞飞飞,人家慕寒的2012年就发了好吧并且我说的是曲调，再说了《独酌》的作曲有不是慕寒，这首歌的作曲直接填的蔡翊昇,0,10月29日 21:57
3591428029,1669112126,_Furuya,人家发歌的时候都说了是根据如果记忆干涸改编的了，那你说像肯定就是慕寒抄如果记忆干涸了,0,10月28日 23:52
3591291747,2054768556,BAI飞飞飞,我的意思是这首歌抄的慕寒的,0,10月28日 22:08
3591223115,1669112126,_Furuya,原来慕寒抄袭如果记忆干涸了呀,0,10月28日 20:33
3591239841,1669112126,_Furuya,贰婶微博：看了好多人针对《一世长安》的评论。涉及到很多关于这歌的伴奏的问题。我觉得还是有必要声明下。《一世长安》这首歌是引用《如果记忆干涸》的原版伴奏，在主旋律及歌词上进行了重新的创作。这点我在5sing发歌的时候已经写得很明确。烦请大家不要纠结于伴奏的问题。,1,10月28日 20:32
3591235300,1669112126,_Furuya,一世长安是在《如果记忆干涸》这首歌的基础上进行的再创作，这点在作者的微博和5sing上写的很清楚了。所以慕寒抄袭如果记忆干涸了呀,0,10月28日 20:31
3590630361,2054768556,BAI飞飞飞,这首歌抄另外一首,0,10月28日 00:47
3590689007,2054768556,BAI飞飞飞,慕寒的《独酌》,0,10月28日 00:47
3590663242,2054768556,BAI飞飞飞,还超了作曲,0,10月28日 00:47
3590612615,2054768556,BAI飞飞飞,临沂是这首抄的独酌的曲,0,10月28日 00:46
3590671053,2054768556,BAI飞飞飞,慕寒的《独酌》，抄袭曲子了，他的作曲没有写原作者的名字,0,10月28日 00:45
3590650267,2054768556,BAI飞飞飞,抄袭作曲，是别人写的，用了别人的作曲写成自己的名字，不是你自己写的曲,0,10月28日 00:44
3590602644,2054768556,BAI飞飞飞,我《独酌》的曲子,0,10月28日 00:43
