5179698410,1865349797,是阿瑞呀9,加油老乡,0,40分钟前
5179626050,1861263112,最后放下的尊严,曾经的北京曾经的梦想曾经的姑娘现在想想当初为什么没有坚持去追寻？而且选择了安逸什么是理想已忘记了感觉,0,11:52
5179498663,1723447826,Nancy190226,加油,0,09:02
5179554899,1661888552,李饼778,14天,0,08:23
5179465664,1730021453,我叫手打面,以前的理想是做个心里有爱的人，现在的理想是做个无爱的人，因为不知道怎么抉择，所以全都舍去,0,08:03
5179481596,319730732,挽风浮柳,肥乡事业单位加油,0,08:02
5179503209,349103324,哈喽lesea,对呀你在哪里上班,0,07:39
5179542792,435333657,azjbrssm,一样 现在21,0,07:14
5179505039,1830306483,路-人-乙-----,加油😊,0,06:40
5179441646,1666303664,Rain1sy,OK 17岁 出社会了,0,05:56
5179503843,92205475,饭团儿778,所以一切没有过去，我没有了麻麻，没有了家了。连曾经的父亲，也变得陌生，他去了他的新家，和那个小三，还有那个他6、7岁的孩子。我又一个人了和两只猫。,0,03:27
5179509741,552304972,初学者_Top1,理想只是生存的一个寄托仅此而已~,0,03:21
5179465034,1442601481,叫我曲先生,理想，是对未来事物的美好想象和希望，也比喻对某事物臻于最完善境界的观念。是人们在实践过程中形成的、有实现可能性的、对未来社会和自身发展的向往和追求，是人们的世界观、人生观和价值观在奋斗目标上的集中体现。满足眼前的物质和精神需求，又憧憬未来的生活目标，期盼满足更高的物质和精神需求。,0,01:59
5179455122,1442601481,叫我曲先生,理想，是对未来事物的美好想象和希望，也比喻对某事物臻于最完善境界的观念。是人们在实践过程中形成的、有实现可能性的、对未来社会和自身发展的向往和追求，是人们的世界观、人生观和价值观在奋斗目标上的集中体现。满足眼前的物质和精神需求，又憧憬未来的生活目标，期盼满足更高的物质和精神需求。,0,01:59
5179419389,1803943477,拾叁师叔,廉租房的咱们，不知道这生活熬成怎样才是个头,0,01:58
5179458994,1518148,mike去看海,祝你幸福,0,01:33
5179456923,540042155,A因吹斯汀,加油！,0,01:14
5179424984,354910207,_Aijam,你的出现，填满了我的理想。,2,00:48
5179374269,1782040319,一切都是奢望1,马上又要过年了 又一个四季在轮回 我马上30了 身边的朋友都结婚有了小孩 而我还是孤单一人 看着爸爸因为帕金森而引起的身体不适 看着妈妈头上那隐隐的白发 看着姐姐婚后生活的糟糕 说真的我有点害怕结婚 但又不得不去找对象结婚 其实也渴望自己能遇到对的她 加油！！！,0,00:30
5179342449,2024250178,sunxi3,只有理想在支撑着那些麻木的血肉,0,00:11
